"lake.name","Year","avg","stdev"
"Big Moose",1994,0.0133333333333333,0.0152752523165195
"Big Moose",1995,0.00666666666666667,0.00577350269189626
"Big Moose",1996,0.01,0
"Big Moose",1997,0.01,0
"Big Moose",1998,0.01,0
"Big Moose",1999,0.005,0.00707106781186548
"Big Moose",2000,0.015,0.00707106781186548
"Big Moose",2001,0.01,0
"Big Moose",2002,0.005,0.00707106781186548
"Big Moose",2003,0.01,0
"Big Moose",2004,0.01,0
"Big Moose",2005,0.035,0.0353553390593274
"Big Moose",2006,0.02,0.014142135623731
"Big Moose",2007,0.005,0.00707106781186548
"Big Moose",2008,0.02,0.014142135623731
"Big Moose",2010,0.015,0.00707106781186548
"Big Moose",2011,0.03,0.0424264068711929
"Big Moose",2012,0.15,NA
"Brooktrout",1994,0.00666666666666667,0.00577350269189626
"Brooktrout",1995,0.01,0.01
"Brooktrout",1996,0.0133333333333333,0.00577350269189626
"Brooktrout",1997,0.02,0.014142135623731
"Brooktrout",1998,0.025,0.00707106781186547
"Brooktrout",1999,0.015,0.00707106781186548
"Brooktrout",2000,0.015,0.00707106781186548
"Brooktrout",2001,0.04,0
"Brooktrout",2002,0.015,0.00707106781186548
"Brooktrout",2003,0.03,0.014142135623731
"Brooktrout",2004,0.025,0.00707106781186547
"Brooktrout",2005,0.03,0
"Brooktrout",2006,0.005,0.00707106781186548
"Brooktrout",2007,0.015,0.00707106781186548
"Brooktrout",2008,0.07,0.0707106781186548
"Brooktrout",2010,0.01,0
"Brooktrout",2011,0.04,0.0282842712474619
"Brooktrout",2012,0,NA
"Carry",1994,0.00666666666666667,0.00577350269189626
"Carry",1995,0.193333333333333,0.308922859842604
"Carry",1996,0.0366666666666667,0.0251661147842358
"Carry",1997,0.19,0.226274169979695
"Carry",1998,0.065,0.0636396103067893
"Carry",1999,0.125,0.148492424049175
"Carry",2000,0.285,0.346482322781408
"Carry",2001,0.01,0
"Carry",2002,0.025,0.00707106781186547
"Carry",2003,0.055,0.0636396103067893
"Carry",2004,0.02,0
"Carry",2005,0.02,0
"Carry",2006,0.02,0.014142135623731
"Cascade",1994,0.03,0.0360555127546399
"Cascade",1995,0.21,0.311929479209644
"Cascade",1996,0.0233333333333333,0.0152752523165195
"Cascade",1997,0.005,0.00707106781186548
"Cascade",1998,0.025,0.00707106781186547
"Cascade",1999,0.03,0.0282842712474619
"Cascade",2000,0.035,0.0353553390593274
"Cascade",2001,0.01,0
"Cascade",2002,0.22,0.29698484809835
"Cascade",2003,0.01,0
"Cascade",2004,0.01,0
"Cascade",2005,0.02,0
"Cascade",2006,0.02,0
"Cascade",2007,0.045,0.0494974746830583
"Cascade",2008,0.015,0.00707106781186548
"Cascade",2010,0.015,0.00707106781186548
"Cascade",2011,0.04,0.014142135623731
"Cascade",2012,0.68,NA
"Constable",1994,0.03,0.0435889894354067
"Constable",1995,0.03,0.02
"Constable",1996,0.0666666666666667,0.0568624070307733
"Constable",1997,0.055,0.0494974746830583
"Constable",1998,0.075,0.0353553390593274
"Constable",1999,0.07,0.014142135623731
"Constable",2000,0.045,0.0494974746830583
"Constable",2001,0.02,0
"Constable",2002,0.015,0.00707106781186548
"Constable",2003,0.04,0.0282842712474619
"Constable",2004,0.04,0.014142135623731
"Constable",2005,0.05,0
"Constable",2006,0.015,0.00707106781186548
"Dart",1994,0.01,0.01
"Dart",1995,0.01,0
"Dart",1996,0.01,0.014142135623731
"Dart",1997,0.02,0.014142135623731
"Dart",1998,0.02,0.014142135623731
"Dart",1999,0.03,0.0282842712474619
"Dart",2000,0.005,0.00707106781186548
"Dart",2001,0.015,0.00707106781186548
"Dart",2002,0.005,0.00707106781186548
"Dart",2003,0.015,0.00707106781186548
"Dart",2004,0.01,0
"Dart",2005,0.015,0.00707106781186548
"Dart",2006,0.015,0.00707106781186548
"Dart",2007,0.01,0
"Dart",2008,0.03,0
"Dart",2010,0.015,0.0212132034355964
"Dart",2011,0.01,0
"Dart",2012,0.01,NA
"G",1994,0.103333333333333,0.161658075373095
"G",1995,0.0433333333333333,0.0208166599946613
"G",1996,0.423333333333333,0.211974841274462
"G",1997,0.055,0.0353553390593274
"G",1998,0.035,0.0353553390593274
"G",1999,0.13,0.113137084989848
"G",2000,0.08,0.0282842712474619
"G",2001,0.02,0.014142135623731
"G",2002,0.02,0
"G",2003,0.07,0.0707106781186548
"G",2004,0.03,0.014142135623731
"G",2005,0.045,0.0212132034355964
"G",2006,0.035,0.0212132034355964
"G",2007,0.035,0.0212132034355964
"G",2008,0.03,NA
"G",2010,0.09,0.0989949493661166
"G",2011,0.015,0.0212132034355964
"G",2012,0.01,NA
"Grass",1994,0.0133333333333333,0.0152752523165195
"Grass",1995,0.01,0.01
"Grass",1996,0.0333333333333333,0.0251661147842358
"Grass",1997,0.025,0.00707106781186547
"Grass",1998,0.01,0
"Grass",1999,0.01,0.014142135623731
"Grass",2000,0.065,0.0494974746830583
"Grass",2001,0.02,0.014142135623731
"Grass",2002,0.01,0
"Grass",2003,0.015,0.00707106781186548
"Grass",2004,0.04,0.0282842712474619
"Grass",2005,0.015,0.0212132034355964
"Grass",2006,0.015,0.00707106781186548
"Indian",1994,0.01,0
"Indian",1995,0.0133333333333333,0.00577350269189626
"Indian",1996,0.03,0.01
"Indian",1997,0.02,0
"Indian",1998,0.025,0.00707106781186547
"Indian",1999,0.015,0.00707106781186548
"Indian",2000,0.02,0
"Indian",2001,0.01,0
"Indian",2002,0.015,0.0212132034355964
"Indian",2003,0.01,0
"Indian",2004,0.01,0
"Indian",2005,0.03,0.014142135623731
"Indian",2006,0.025,0.00707106781186547
