 ,Area,Mean,Min,Max,Angle,Length
1,0.002,54.169,4.999,254.231,-86.573,0.760
2,8.523E-4,149.550,5.384,236.217,-80.538,0.373
3,7.283E-4,221.887,103.714,241.295,-99.058,0.318
4,8.678E-4,227.851,153.696,244.645,-68.962,0.380
5,5.630E-4,180.112,94.778,226.889,-91.591,0.246
6,3.564E-4,17.282,8.250,71.667,28.811,0.156
7,9.452E-4,200.231,113.047,242.344,-67.671,0.413
8,4.494E-4,152.064,112.350,170.531,60.751,0.195
9,4.132E-4,85.792,28.376,172.297,-98.746,0.179
10,3.254E-4,230.591,157.333,242.411,50.906,0.141
