 ,Area,Mean,Min,Max,Angle,Length
1,5.826E-4,135.877,28.557,205.834,-32.560,0.586
2,2.559E-4,121.900,32.297,189.809,-137.816,0.257
3,2.500E-4,120.266,14.456,190.774,-121.430,0.251
4,2.205E-4,129.436,31.579,190.242,-62.745,0.221
5,1.919E-4,120.105,45.215,198.377,-73.811,0.192
6,2.096E-4,175.318,92.604,208.398,-64.885,0.210
7,2.520E-4,155.578,105.314,200.069,-46.909,0.253
8,3.435E-4,122.653,26.724,191.000,-87.039,0.346
9,1.486E-4,125.120,52.440,198.840,-2.291,0.149
10,1.949E-4,147.650,96.957,199.603,-121.264,0.195
